Player,Mat,Inns,Runs,HS,Ave,BF,SR,100s,50s,0s,4s,6s,BT
HH Gibbs (SA),23,23,400,90,18.18,318,125.78,0,3,4,45,12,0
KD Karthik (ICC/INDIA),32,26,399,48,33.25,278,143.52,0,0,2,42,15,1
V Sehwag (INDIA),19,18,394,68,21.88,271,145.38,0,2,1,43,16,1
Abdul Razzaq (PAK),32,29,393,46,20.68,337,116.61,0,0,2,21,21,1
Rizwan Cheema (CAN),24,24,389,72,17.68,314,123.88,0,2,5,33,28,0
SJ Baard (NAM),13,13,387,92,35.18,305,126.88,0,4,1,32,13,1
AA Obanda (KENYA),30,28,381,79,14.65,362,105.24,0,1,5,49,7,1
CJA Amini (PNG),23,18,377,60,26.92,324,116.35,0,2,2,16,13,0
Mashrafe Mortaza (BDESH),54,39,377,36,13.46,277,136.1,0,0,6,28,23,1
AM Rahane (INDIA),20,20,375,61,20.83,331,113.29,0,1,2,32,6,1
J Rasu (VAN),13,13,374,74,28.76,338,110.65,0,2,0,27,16,0
Hussain Talat (PAK),14,14,371,63,28.53,309,120.06,0,2,1,35,5,1
Nasir Hossain (BDESH),31,24,370,50,18.5,326,113.49,0,2,2,30,7,0
JW Jenner (JER),17,17,365,71,24.33,299,122.07,0,3,2,24,14,0
PJ Moor (ZIM),21,19,364,92,24.26,286,127.27,0,1,0,22,24,0
Nasir Jamshed (PAK),18,18,363,56,21.35,320,113.43,0,2,1,34,12,0
NS Dhaliwal (CAN),12,11,361,69,40.11,291,124.05,0,3,0,22,16,1
Sharjeel Khan (PAK),15,15,360,59,24,262,137.4,0,2,0,48,13,0
L Ronchi (AUS/ICC/NZ),33,26,359,51,17.95,256,140.23,0,1,5,30,14,1
R Sandaruwan (KUW),10,10,358,103,39.77,216,165.74,1,2,2,29,24,0
S Bau (PNG),23,17,356,40,25.42,338,105.32,0,0,1,21,11,1
Anamul Haque (BDESH),13,13,355,58,32.27,301,117.94,0,1,1,38,12,1
KD Shah (HKG),26,22,351,79,18.47,340,103.23,0,2,3,26,10,0
SW Billings (ENG/ICC),26,23,348,87,17.4,255,136.47,0,2,1,33,11,1
S Chandramohan (SGP),12,12,348,66,31.63,292,119.17,0,3,3,33,15,0
OA Shah (ENG),17,15,347,55,24.78,284,122.18,0,1,0,26,13,1
SO Tikolo (KENYA),15,15,345,56,28.75,281,122.77,0,2,3,46,6,1
S Chanderpaul (WI),22,22,343,41,20.17,347,98.84,0,0,0,34,5,0
DM Bravo (WI),20,18,340,43,20,317,107.25,0,0,3,28,13,1
JM Vince (ENG),12,12,340,59,28.33,275,123.63,0,1,0,34,9,1
A Symonds (AUS),14,11,337,,48.14,199,169.34,0,2,2,33,10,1
N Davin (NAM),16,16,335,54,22.33,216,155.09,0,1,1,33,15,1
SA Edwards (NL),29,22,334,42,23.85,229,145.85,0,0,1,33,6,1
Asif Ali (PAK),25,24,331,41,18.38,258,128.29,0,0,1,15,19,0
Faisal Javed (QAT),15,15,330,61,22,212,155.66,0,2,1,45,11,0
SR Thompson (IRE),41,30,328,56,14.9,254,129.13,0,1,1,23,14,0
RJ Nicol (NZ),21,19,327,58,17.21,296,110.47,0,2,2,33,11,1
RR Rossouw (SA),15,14,327,78,29.72,237,137.97,0,2,2,29,12,1
Aamir Kaleem (OMAN),25,22,325,46,18.05,306,106.2,0,0,4,26,9,1
LE Bosman (SA),14,14,323,94,24.84,219,147.48,0,3,2,27,20,1
Anshuman Rath (HKG),20,19,321,44,18.88,344,93.31,0,0,1,31,2,0
N Vanua (PNG),25,22,321,54,22.92,211,152.13,0,1,4,12,23,1
TM Head (AUS),16,15,319,48,26.58,245,130.2,0,0,0,19,10,0
TL Seifert (NZ),19,18,316,84,18.58,228,138.59,0,1,2,22,21,1
BDH Stevens (JER),17,17,316,44,19.75,315,100.31,0,0,1,30,6,1
GJ Delany (IRE),17,15,314,89,26.16,206,152.42,0,2,0,28,12,0
N Nipiko (VAN),14,14,312,62,26,297,105.05,0,2,1,16,13,0
N Pooran (WI),16,16,312,58,24,247,126.31,0,2,1,24,17,0
R Powell (WI),23,18,311,54,20.73,250,124.4,0,2,1,26,13,1
Virandeep Singh (MAL),12,12,311,57,25.91,309,100.64,0,1,1,27,7,1
CR Brathwaite (WI),41,27,310,37,14.76,274,113.13,0,0,3,13,22,0
HH Pandya (INDIA),40,25,310,33,16.31,210,147.61,0,0,2,18,19,0
S Vesawkar (NEPAL),17,16,310,40,23.84,313,99.04,0,0,0,25,7,0
ML Hayden (AUS),9,9,308,73,51.33,214,143.92,0,4,0,37,13,0
NJ Ferraby (JER),14,14,303,81,23.3,257,117.89,0,1,2,38,2,0
Tamoor Sajjad (QAT),12,11,301,68,33.44,216,139.35,0,1,1,24,14,0
NL McCullum (NZ),63,41,299,36,11.5,297,100.67,0,0,4,19,8,1
RR Sarwan (WI),18,16,298,59,22.92,286,104.19,0,2,1,19,6,1
L Siaka (PNG),26,22,296,39,14.8,271,109.22,0,0,4,26,7,1
Kamran Khan (QAT),14,14,295,52,22.69,220,134.09,0,2,0,26,17,0
R Mutumbami (ZIM),22,19,294,54,19.6,251,117.13,0,1,1,19,15,1
B Bhandari (NEPAL),27,23,292,58,17.17,262,111.45,0,2,1,23,12,1
CA Lynn (AUS),18,16,291,44,19.4,221,131.67,0,0,1,28,14,1
HDRL Thirimanne (SL),26,20,291,44,16.16,267,108.98,0,0,1,27,5,0
AN Kervezee (NL),10,10,289,58,32.11,262,110.3,0,2,0,19,6,1
DS Airee (NEPAL),18,16,287,47,20.5,260,110.38,0,0,0,22,6,1
IA Karim (KENYA),16,16,286,71,22,299,95.65,0,2,2,30,2,0
A Bagai (CAN),9,9,284,67,40.57,249,114.05,0,2,0,27,0,1
Mohammad Shahzad (UAE),20,20,281,52,15.61,239,117.57,0,1,2,25,11,0
TC Bruce (NZ),15,15,279,59,21.46,222,125.67,0,2,0,24,7,1
SO Hetmyer (WI),20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
TAM Siriwardana (SL),22,19,275,42,17.18,208,132.21,0,0,4,16,12,0
AC Gilchrist (AUS),13,13,272,48,22.66,192,141.66,0,0,0,27,13,0
Amjad Javed (UAE),22,18,271,76,18.06,242,111.98,0,1,1,17,15,1
MV Boucher (SA),25,21,268,36,17.86,275,97.45,0,0,0,22,2,0
Ravinderpal Singh (CAN),12,10,266,101,33.25,177,150.28,1,1,1,13,19,1
PK Matautaava (VAN),10,10,265,103,26.5,156,169.87,1,1,2,19,20,1
SR Taylor (USA),8,8,265,72,37.85,207,128.01,0,2,1,28,10,0
MJ Santner (NZ),39,27,263,37,15.47,205,128.29,0,0,3,22,7,0
Imad Wasim (PAK),41,29,261,47,13.05,180,145,0,0,6,28,7,1
DMW Rawlins (BMUDA),11,11,261,63,23.72,201,129.85,0,1,1,23,15,0
Adnan Idrees (KUW),6,6,259,80,43.16,157,164.96,0,3,0,35,9,0
T Taibu (ZIM),17,15,259,45,28.77,257,100.77,0,0,2,19,2,0
Adnan Ilyas (OMAN),12,11,258,54,23.45,218,118.34,0,1,0,16,8,0
Najeeb Tarakai (AFG),12,12,258,90,21.5,210,122.85,0,1,1,21,13,1
DM de Silva (SL),13,13,257,62,19.76,252,101.98,0,1,0,18,4,1
Manpreet Singh (SGP),12,12,255,42,23.18,222,114.86,0,0,0,15,5,1
SE Marsh (AUS),15,15,255,47,18.21,248,102.82,0,0,2,15,10,0
RP Burl (ZIM),16,13,254,57,25.4,221,114.93,0,1,0,16,10,1
HE van der Dussen (SA),9,8,254,64,31.75,192,132.29,0,2,1,14,12,0
Waqas Barkat (HKG),22,20,254,37,14.11,286,88.81,0,0,2,20,0,0
SF Mire (ZIM),9,8,253,94,31.62,196,129.08,0,2,0,23,13,1
GH Dockrell (IRE),73,33,251,34,13.21,207,121.25,0,0,4,14,7,1
DT Johnston (IRE),30,19,249,62,20.75,184,135.32,0,1,1,13,11,1
RV Uthappa (INDIA),13,12,249,50,24.9,211,118,0,1,1,26,6,0
CG Williams (NAM),13,12,249,68,27.66,210,118.57,0,1,1,15,10,1
JP Kotze (NAM),12,12,245,101,22.27,193,126.94,1,0,1,21,13,0
Mohamed Rishwan (Mald),11,10,245,67,24.5,245,100,0,2,0,22,10,0
CN Ackermann (NL),11,11,243,43,30.37,196,123.97,0,0,0,18,5,0
Muhammad Kashif (KUW),10,9,242,53,48.4,215,112.55,0,2,0,14,13,0
UT Khawaja (AUS),9,9,241,58,26.77,182,132.41,0,1,0,31,5,1
MA Leask (SCOT),31,22,240,58,12,199,120.6,0,1,2,16,12,0
SW Poynter (IRE),25,21,240,39,16,213,112.67,0,0,0,22,6,1
Aizaz Khan (HKG),30,27,239,31,11.95,234,102.13,0,0,4,19,4,0
MS Wade (AUS),26,17,239,72,19.91,218,109.63,0,1,0,11,9,0
Ashfaq Ahmed (UAE),12,12,238,75,19.83,185,128.64,0,3,2,32,6,1
SD Hope (WI),13,11,238,55,21.63,175,136,0,2,1,24,10,1
J Mubarak (SL),16,15,238,46,21.63,188,126.59,0,0,2,21,8,0
Khalid Latif (PAK),13,13,237,59,21.54,229,103.49,0,1,1,25,6,1
RE Levi (SA),13,13,236,117,21.45,167,141.31,1,1,3,20,15,0
YK Pathan (INDIA),22,18,236,37,18.15,161,146.58,0,0,3,11,17,1
MM Ali (ENG),25,22,235,72,14.68,198,118.68,0,1,6,21,9,1
F Damiao Couana (Moz),7,7,233,71,38.83,179,130.16,0,1,0,16,14,1
ES Szwarczynski (NL),14,12,233,45,21.18,243,95.88,0,0,0,22,2,0
HT Tector (IRE),14,12,233,60,25.88,176,132.38,0,1,0,20,5,0
BA Stokes (ENG),23,20,232,38,15.46,178,130.33,0,0,1,20,9,0
H Gori (CZK-R),7,7,231,66,33,176,131.25,0,1,0,23,12,1
JF Mooney (IRE),27,23,231,31,16.5,214,107.94,0,0,0,25,1,1
AR Cusack (IRE),37,21,229,65,15.26,177,129.37,0,1,1,17,6,0
Mohammed Rizlan (QAT),15,12,229,38,32.71,218,105.04,0,0,0,14,10,1
Aftab Ahmed (BDESH),11,11,228,62,22.8,178,128.08,0,1,0,26,6,1
T Mishra (KENYA),15,15,227,38,15.13,263,86.31,0,0,2,15,4,1
Rahmanullah Gurbaz (AFG),7,7,227,79,32.42,164,138.41,0,2,2,19,13,1
C Bisson (JER),14,14,226,54,18.83,177,127.68,0,1,3,24,5,1
SS Iyer (INDIA),14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
I Udana (SL),27,19,226,84,22.6,152,148.68,0,1,2,15,13,0
DAS Gunaratne (SL),12,12,225,84,25,178,126.4,0,2,2,19,6,1
Inam-ul-Haq (QAT),11,11,225,73,25,205,109.75,0,1,1,28,2,0
GSNFG Jayasuriya (SL),16,14,225,40,16.07,203,110.83,0,0,0,17,8,1
Shafiq Sharif (MAL),10,10,225,53,22.5,171,131.57,0,1,2,32,5,1
MN van Wyk (SA),8,7,225,114,37.5,157,143.31,1,1,0,19,14,0
CAK Walton (WI),19,17,225,40,13.23,203,110.83,0,0,5,23,11,0
DG Blampied (JER),17,15,221,43,24.55,222,99.54,0,0,1,14,0,1
Sohaib Maqsood (PAK),20,18,221,37,13.81,201,109.95,0,0,2,15,8,1
H Patel (CAN),11,11,220,88,22,218,100.91,0,1,2,19,2,1
TG Southee (NZ),66,30,220,39,12.22,150,146.66,0,0,4,14,15,1
AD Poynter (IRE),19,14,219,57,19.9,184,119.02,0,1,1,21,8,1
Tanwir Afzal (HKG),21,18,219,56,13.68,173,126.58,0,1,4,9,15,1
TT Bresnan (ENG),34,22,216,47,16.61,170,127.05,0,0,3,16,6,1
CJ Jordan (ENG),43,25,216,36,15.42,166,130.12,0,0,2,16,11,0
DO Obuya (KENYA),10,10,216,65,27,228,94.73,0,2,1,22,4,1
MJG Rippon (NL),18,11,216,42,30.85,192,112.5,0,0,2,15,3,0
KMDN Kulasekara (SL),58,30,215,31,10.23,184,116.84,0,0,4,14,7,0
EMDY Munaweera (SL),13,13,215,53,17.91,164,131.09,0,1,1,25,7,0
B Ward (JER),13,12,215,58,23.88,160,134.37,0,1,1,8,15,1
S Prasanna (SL),20,20,214,37,15.28,161,132.91,0,0,0,13,13,1
S Wickramasekara (CZK-R),5,5,214,104,71.33,104,205.76,1,1,0,17,19,0
RG Aga (KENYA),20,18,213,52,13.31,196,108.67,0,1,0,15,5,0
Haroon Arshad (HKG),10,10,211,68,30.14,154,137.01,0,1,0,15,7,0
Haris Sohail (PAK),14,13,210,52,19.09,204,102.94,0,2,1,16,3,1
CA Ingram (SA),9,9,210,78,26.25,162,129.62,0,1,1,23,7,1
Khurram Nawaz (OMAN),18,13,210,58,21,179,117.31,0,1,0,11,10,0
Bilal Zalmai (Aut),5,4,208,111,69.33,109,190.82,1,0,0,16,16,1
Ghulam Shabber (UAE),17,14,208,58,18.9,182,114.28,0,1,0,24,4,1
BBJL Perera (ITA),8,7,208,67,34.66,144,144.44,0,1,0,23,8,0
BMAJ Mendis (SL),22,15,207,43,18.81,174,118.96,0,0,1,18,6,0
JJ Smit (NAM),12,10,206,59,25.75,128,160.93,0,1,0,10,14,1
DL Vettori (NZ),34,22,205,38,12.81,190,107.89,0,0,3,14,2,0
JM Kemp (SA),8,7,203,89,50.75,160,126.87,0,1,0,17,10,0
DS Smith (WI),6,6,203,61,33.83,161,126.08,0,2,0,22,5,0
Ahmed Faiz (MAL),10,10,202,45,22.44,179,112.84,0,0,0,14,6,0
JJ Atkinson (HKG),13,12,202,53,16.83,187,108.02,0,1,3,22,6,0
R Gunasekera (CAN),8,8,202,65,25.25,188,107.44,0,1,0,23,4,1
J Botha (SA),40,20,201,34,18.27,165,121.81,0,0,1,15,9,1
J Butler (GUE),9,8,201,65,28.71,214,93.92,0,1,0,20,1,0
KS Leverock (BMUDA),12,12,201,43,20.1,165,121.81,0,0,3,16,11,1
DM Gondaria (KENYA),11,9,199,85,28.42,157,126.75,0,1,0,12,6,0
R Panchal (ESP),9,8,199,71,39.8,185,107.56,0,1,0,9,7,1
Sompal Kami (NEPAL),28,19,198,40,15.23,176,112.5,0,0,1,15,7,0
Sohail Tanvir (PAK),57,25,196,41,11.52,164,119.51,0,0,2,16,9,0
Yasir Ali (ESP),9,9,196,57,32.66,183,107.1,0,1,1,11,9,0
Aarif Sheikh (NEPAL),11,10,194,39,24.25,181,107.18,0,0,0,18,4,0
Fawad Alam (PAK),24,17,194,28,17.63,169,114.79,0,0,1,7,7,1
Asad Shafiq (PAK),10,10,192,38,19.2,185,103.78,0,0,0,19,2,0
S Davizi (CZK-R),2,2,192,101,96,133,144.36,1,1,0,14,10,1
Mukhtar Ahmed (PAK),6,6,192,83,32,134,143.28,0,2,0,23,5,0
R Rohan (SGP),10,10,191,49,19.1,156,122.43,0,0,1,23,6,0
Ahmed Hassan (Mald),11,10,189,53,18.9,192,98.43,0,1,0,18,2,0
SR Patel (ENG),18,14,189,67,15.75,173,109.24,0,1,2,17,5,1
IR Bell (ENG),8,8,188,60,26.85,163,115.33,0,1,0,23,2,1
CD McMillan (NZ),8,7,187,57,31.16,117,159.82,0,1,0,8,14,1
SP Patil (UAE),18,13,187,37,14.38,218,85.77,0,0,3,16,4,1
JDS Neesham (NZ),18,15,185,42,16.81,131,141.22,0,0,1,19,8,1
Umar Adam (Mald),11,10,185,53,20.55,149,124.16,0,1,1,19,6,1
BJ Hodge (AUS),15,11,183,36,26.14,144,127.08,0,0,0,9,7,1
XM Marshall (USA/WI),13,13,183,36,14.07,185,98.91,0,0,2,13,6,1
Mosaddek Hossain (BDESH),14,13,183,34,20.33,173,105.78,0,0,1,10,5,1
Mohammad Rizwan (PAK),16,13,180,33,16.36,184,97.82,0,0,1,14,2,1
C Tommy (VAN),12,11,180,47,16.36,191,94.24,0,0,2,6,8,0
CAJ Meschede (GER),5,5,179,67,44.75,115,155.65,0,1,1,9,14,0
Nazimuddin (BDESH),7,7,178,81,25.42,158,112.65,0,1,2,13,10,1
Kaleem Shah (Moz),7,7,176,72,29.33,170,103.52,0,1,1,21,4,1
Mohammad Naveed (UAE),31,24,176,27,12.57,147,119.72,0,0,3,17,8,0
MR Marsh (AUS),11,11,175,36,21.87,151,115.89,0,0,0,7,9,1
LPC Silva (SL),16,15,175,38,13.46,177,98.87,0,0,0,19,3,1
NN Odhiambo (KENYA),24,20,174,41,9.66,177,98.3,0,0,3,17,4,1
L Vincent (NZ),9,9,174,42,19.33,174,100,0,0,1,17,3,1
Karan KC (NEPAL),25,16,173,40,15.72,126,137.3,0,0,2,9,12,0
Nouman Sarwar (QAT),14,9,172,47,57.33,128,134.37,0,0,1,16,6,0
IK Pathan (INDIA),24,14,172,33,24.57,144,119.44,0,0,0,9,7,1
HAM Shah (DEN),9,8,172,40,21.5,168,102.38,0,0,0,18,2,0
GD Elliott (NZ/World),17,15,171,27,15.54,157,108.91,0,0,0,12,2,0
Simi Singh (IRE),18,17,169,57,11.26,144,117.36,0,1,5,12,6,1
M Vijay (INDIA),9,9,169,48,18.77,154,109.74,0,0,1,13,8,0
ME Trescothick (ENG),3,3,166,72,55.33,131,126.71,0,2,0,23,1,1
DJ Willey (ENG),28,19,166,29,13.83,126,131.74,0,0,1,8,10,0
Umar Gul (PAK),60,27,165,32,9.16,156,105.76,0,0,6,11,10,0
Tarun Sharma (Mex),8,8,164,49,23.42,160,102.5,0,0,1,12,6,1
TN de Grooth (NL),15,13,163,49,20.37,155,105.16,0,0,0,16,1,0
RA Jadeja (INDIA),46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
TWM Latham (NZ),13,10,163,39,16.3,157,103.82,0,0,0,12,2,1
PD Hennessy (ESP),8,7,162,71,23.14,132,122.72,0,1,1,11,7,1
H Davids (SA),9,9,161,68,17.88,134,120.14,0,2,2,18,4,0
NMS Param (SGP),8,7,160,72,32,118,135.59,0,1,0,12,6,1
RW Chakabva (ZIM),12,12,159,48,14.45,134,118.65,0,0,4,12,7,0
JP Faulkner (AUS),24,18,159,41,14.45,138,115.21,0,0,0,7,5,0
MC Henriques (AUS),11,8,159,62,31.8,122,130.32,0,2,0,8,7,1
Junaid Siddique (BDESH),7,7,159,71,22.71,108,147.22,0,1,1,16,7,0
A Mansale (VAN),14,14,159,38,11.35,151,105.29,0,0,4,14,5,0
Mohamed Arief (MAL),5,5,159,52,39.75,114,139.47,0,1,0,18,4,1
RR Watson (SCOT),10,9,159,54,17.66,141,112.76,0,1,1,22,1,0
JL Ontong (SA),14,10,158,48,15.8,109,144.95,0,0,1,6,11,1
Mudassar Bukhari (NL),38,26,157,28,8.72,152,103.28,0,0,1,10,4,0
HL Carlyon (JER),9,8,156,50,19.5,131,119.08,0,1,1,21,3,0
H Klaasen (SA),9,9,156,69,22.28,107,145.79,0,1,0,8,11,0
SP Narine (WI),51,23,155,30,10.33,138,112.31,0,0,2,13,5,0
NA Greenwood (JER),8,8,154,43,19.25,128,120.31,0,0,1,15,2,1
MR Adair (IRE),17,14,152,38,15.2,118,128.81,0,0,1,8,7,0
NG Collins (Fin),5,5,151,56,30.2,164,92.07,0,2,0,10,0,0
HD Rutherford (NZ),8,7,151,62,21.57,105,143.8,0,1,1,12,9,1
NM Coulter-Nile (AUS),28,15,150,34,13.63,120,125,0,0,3,10,10,1
Iftikhar Ahmed (PAK),6,6,150,62,75,104,144.23,0,1,0,14,4,1
Rashid Khan (AFG/ICC),45,22,149,33,13.54,124,120.16,0,0,4,9,9,1
VB Chikkannaiah (GER),7,7,148,70,24.66,167,88.62,0,1,0,10,2,0
WIA Fernando (SL),10,10,148,37,14.8,156,94.87,0,0,1,9,3,1
